date,air_temperature_c,n_observations
2023-04-01 00:00:00+00:00,-5.513793103448276,58
2023-04-02 00:00:00+00:00,-8.514814814814814,54
2023-04-03 00:00:00+00:00,-15.908333333333333,24
2023-04-04 00:00:00+00:00,-15.626086956521737,23
2023-04-05 00:00:00+00:00,-20.176923076923078,26
2023-04-06 00:00:00+00:00,-23.303571428571427,28
2023-04-07 00:00:00+00:00,-24.594871794871793,39
2023-04-08 00:00:00+00:00,-26.112499999999997,24
2023-04-09 00:00:00+00:00,-20.82264150943396,53
2023-04-10 00:00:00+00:00,-24.4875,24
2023-04-11 00:00:00+00:00,-23.599999999999998,24
2023-04-12 00:00:00+00:00,-20.829166666666666,24
2023-04-13 00:00:00+00:00,-21.308333333333334,24
2023-04-14 00:00:00+00:00,-17.184,25
2023-04-15 00:00:00+00:00,-14.233333333333334,24
2023-04-16 00:00:00+00:00,-14.445833333333333,24
2023-04-17 00:00:00+00:00,-14.775,24
2023-04-18 00:00:00+00:00,-15.308333333333332,24
2023-04-19 00:00:00+00:00,-13.816666666666668,24
2023-04-20 00:00:00+00:00,-9.679166666666667,24
2023-04-21 00:00:00+00:00,-5.9750000000000005,24
2023-04-22 00:00:00+00:00,-5.0,24
2023-04-23 00:00:00+00:00,-4.241666666666666,24
2023-04-24 00:00:00+00:00,-5.804166666666667,24
2023-04-25 00:00:00+00:00,-5.4875,24
2023-04-26 00:00:00+00:00,-2.1666666666666665,24
2023-04-27 00:00:00+00:00,-5.003571428571428,28
2023-04-28 00:00:00+00:00,-2.7142857142857144,49
2023-04-29 00:00:00+00:00,-0.22291666666666665,48
2023-04-30 00:00:00+00:00,0.48055555555555546,36
