date,surface_temp_c
2021-05-01,-8.100006103515625
2021-05-02,-2.2249755859375
2021-05-03,-0.774993896484375
2021-05-04,-3.024993896484375
2021-05-05,-5.375
2021-05-06,-4.199981689453125
2021-05-07,-0.95001220703125
2021-05-08,-1.67498779296875
2021-05-09,-0.92498779296875
2021-05-10,-0.100006103515625
2021-05-11,-2.149993896484375
2021-05-12,-1.42498779296875
2021-05-13,-3.399993896484375
2021-05-14,-0.25
2021-05-15,-0.225006103515625
2021-05-16,-1.399993896484375
2021-05-17,-4.600006103515625
2021-05-18,-1.824981689453125
2021-05-19,-4.79998779296875
2021-05-20,-1.17498779296875
2021-05-21,-0.524993896484375
2021-05-22,-0.67498779296875
2021-05-23,-2.20001220703125
2021-05-24,-1.399993896484375
2021-05-25,-1.04998779296875
2021-05-26,-0.949981689453125
2021-05-27,-0.850006103515625
2021-05-28,-0.75
2021-05-29,-0.54998779296875
2021-05-30,-0.350006103515625
2021-05-31,-0.149993896484375
